ADDRESS1,ZIPCODE2,CITY,STATE,LATITUDE,LONGITUDE,STOREID,PREFIX,duplicate,check
17 Worthington Ave.,L7A2Y7,Brampton,ON,43.6868,-79.8208,606211730371479,17 Worthin,1,1
170 BROADWAY ST RELOCATION,N4G4X1,Tillsonburg,ON,44.4292,-79.1525,21319,170 BROADW,0,0
170 Kingston Road East A3,L1Z1E5,Ajax,ON,43.8633,-79.0177,17063,170 Kingst,0,0
1700 Boul. Lebourgneuf,G2K2M4,Quebec,QC,56.1304,-106.347,21295,1700 Boul.,0,0
1700 Elgin Mills Rd. E,L4S0B2,Richmond Hill,ON,43.9004,-79.3902,26243,1700 Elgin,0,0
1700 Rue Sherbrooke,J1X5B4,Magog,QC,45.4251,-71.913,23752,1700 Rue S,0,1
1700 Rue Sherbrooke,J1X5B4,Magog,QC,45.271,-72.1391,28734,1700 Rue S,1,1
1700 Rue Sherbrooke Unit 117,J1X5B4,Magog,QC,45.5276,-73.5637,17753,1700 Rue S,1,1
1700 Wilson Ave,M3L1B2,North York,ON,43.7218,-79.5117,608041250482505,1700 Wilso,0,1
1700 Wilson Ave.,M3L1B2,North York,ON,43.7218,-79.5117,22630,1700 Wilso,1,1
17000 autoroute Transcanadienne,H9J2M5,Kirkland,QC,45.4851,-73.782,21273,17000 auto,0,0
1701 MERIVALE ROAD,K2G3K2,Nepean,ON,45.3465,-75.7308,27988,1701 MERIV,0,1
1701 MERIVALE ROAD,K2G3K2,Nepean,ON,45.3485,-75.7324,12603,1701 MERIV,1,1
1701 Preston Ave N,S7N4V2,Saskatoon,SK,52.1085,-106.623,608041250482814,1701 Prest,0,0
1706 PRESTON AVE N,S7N4Y1,Saskatoon,SK,52.1087,-106.623,21305,1706 PREST,0,0
171 Guelph Street,L7G4A1,Georgetown,ON,43.6514,-79.9065,608041250482633,171 Guelph,0,0
1711 152nd St.,V4A4N3,South Surrey,BC,43.7546,-79.352,22793,1711 152nd,0,1
1711 152nd St.,V4A4N3,Surrey,BC,49.0329,-122.803,20953,1711 152nd,1,1
