,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
46,ROOFTOP,"105 Rue Robert Bernard, Drummondville, QC J2C 0P6, Canada",ChIJ3zdf0zcSyEwRIpE1lbHAmhM,"105 Rue Robert-Bernard,Drummondville,QC,Canada,J2C0P6",45.9079635,-72.5152822,1,J2C 0P6,OK,premise
47,ROOFTOP,"10539 Boulevard Pie-IX, Montréal-Nord, QC H1H 4A3, Canada",ChIJKYpYcBMfyUwROQc48rg7otQ,"10539 Boulevard Pie-Ix,Montreal,QC,Canada,H1H4A3",45.5887217,-73.6331685,1,H1H 4A3,OK,street_address
48,ROOFTOP,"1350 Spring St NW #1, Atlanta, GA 30309, USA",ChIJz4_nc1oE9YgRxihstPqFSoM,,33.791638,-84.389488,1,30309,OK,"bar,establishment,food,point_of_interest,restaurant"
49,RANGE_INTERPOLATED,"1063 Talbot St, St Thomas, ON N5P 1G3, Canada",Ei0xMDYzIFRhbGJvdCBTdCwgU3QgVGhvbWFzLCBPTiBONVAgMUczLCBDYW5hZGEiGxIZChQKEglXMr_kIF4uiBGeJqXH5woX0hCnCA,"1063 TALBOT ST,St Thomas,ON,Canada,N5P 1G4",42.7794608,-81.1671686,1,N5P 1G3,OK,street_address
50,ROOFTOP,"1067 Ontario St, Stratford, ON N5A 6W6, Canada",ChIJddD2nMytLogRUiWQDq7jrko,"1067 ONTARIO ST,Stratford,ON,Canada,N5A 6W6",43.3699529,-80.9455275,1,N5A 6W6,OK,street_address
51,RANGE_INTERPOLATED,"1070 Major Mackenzie Dr E, Richmond Hill, ON L4S, Canada",EjQxMDcwIE1ham9yIE1hY2tlbnppZSBEciBFLCBSaWNobW9uZCBIaWxsLCBPTiwgQ2FuYWRhIhsSGQoUChIJayuoZOYqK4gRee2PEn9BnfAQrgg,"1070 Major MacKenzie Dr E,Richmond Hill,ON,Canada,L4S1P3",43.8773402,-79.4084342,1,L4S,OK,street_address
52,ROOFTOP,"1075 Boulevard Firestone, Joliette, QC J6E 6X6, Canada",ChIJFVG4kZi9yEwRArlUbIzFd_4,"1075 boul. Firestone,Joliette,QC,Canada,J6E 6X6",46.0327605,-73.4246143,1,J6E 6X6,OK,street_address
53,ROOFTOP,"1075 Boulevard Firestone, Joliette, QC J6E 6X6, Canada",ChIJFVG4kZi9yEwRArlUbIzFd_4,"1075 Boulevard Firestone,Joliette,QC,Canada,J6E6X6",46.0327605,-73.4246143,1,J6E 6X6,OK,street_address
54,ROOFTOP,"1075 St Albert Trail, St. Albert, AB T8N 7H5, Canada",ChIJ6-wjDVovoFMRTO0-i52rIv8,"1075 St Albert Trail,St. Albert,AB,Canada,T8N4K6",53.66940700000001,-113.6370971,1,T8N 7H5,OK,premise
55,ROOFTOP,"1076 Hoover Park Dr, Whitchurch-Stouffville, ON L4A 0K2, Canada",ChIJnRw8fUMp1YkRZSdRONTN2Ss,"1076 Hoover Park Drive,Stouffville,ON,Canada,L4A0K2",43.95608989999999,-79.2767389,1,L4A 0K2,OK,premise
56,ROOFTOP,"1080 Wellington Rd, London, ON N6E 1M2, Canada",ChIJc8nQtpfzLogRGSagoaOIOYc,"1080 WELLINGTON ROAD,London,ON,Canada,N6E1M2",42.9331989,-81.2212004,1,N6E 1M2,OK,premise
57,ROOFTOP,"109 Princess Elizabeth Ave NW, Edmonton, AB T5G 3A6, Canada",ChIJS09ddrAjoFMR1WJlRNBlMLE,"109 Princess Elizabeth Avenue NW,Edmonton,AB,Canada,T5G3A6",53.56229070000001,-113.5056191,1,T5G 3A6,OK,street_address
58,ROOFTOP,"1096 Princess St, Kingston, ON K7L 1H2, Canada",ChIJocFiFJur0kwRC9LE3LdqTcg,"1096 Princess St,Kingston,ON,Canada,K7L1H2",44.2426475,-76.5159415,1,K7L 1H2,OK,street_address
59,ROOFTOP,"1099 Marcus Dr, Sudbury, ON P3B 4K6, Canada",ChIJ2dKmtnwAL00Rm3H7T6iqjlo,"1099 MARCUS DRIVE,Sudbury,ON,Canada,P3B4K6",46.5001031,-80.94778319999999,1,P3B 4K6,OK,street_address
60,ROOFTOP,"11 Boulevard Sainte Anne O, Sainte-Anne-des-Monts, QC G4V 1P5, Canada",ChIJ9WUGD1fEkEwR3UyltP2iJN8,"11 Boul Ste-Anne O,Sainte-Ann-Des-Monts,QC,Canada,G4V1P5",49.1262233,-66.4860885,1,G4V 1P5,OK,premise
61,ROOFTOP,"11 Washmill Lake Dr, Halifax, NS B3S 0C4, Canada",ChIJ-7JIajcgWksR4tbK88PS9JY,"11 WASHMILL LAKE DRIVE,Halifax,NS,Canada,B3S0A2",44.6468352,-63.67170549999999,1,B3S 0C4,OK,subpremise
62,ROOFTOP,"110 Place d'Orléans Dr, Orléans, ON K1C 2L9, Canada",ChIJXWm1BH8RzkwROTUFmEMqnPs,"110 Place d'Orléans Dr, Unit 370,Orléans, ON,QC,Canada,K1C2L9",45.4778426,-75.5159583,2,K1C 2L9,OK,"establishment,point_of_interest,shopping_mall"
63,ROOFTOP,"1100 Boulevard Maloney O, Gatineau, QC J8T 6G3, Canada",ChIJN8VI0EAbzkwR5kLydhLreYc,"1100 Boul. Maloney O,Gatineau,QC,Canada,J8T 6G3",45.4756531,-75.6972849,1,J8T 6G3,OK,premise
64,ROOFTOP,"1100 Boulevard Guillaume-Couture, Saint-Romuald, QC G6W 5M6, Canada",ChIJhefvadaTuEwRrfOLXD7-XEQ,"1100 Boulevard Guillaume-Couture,Saint-Romuald,QC,Canada,G6W5M6",46.7322981,-71.26754079999999,1,G6W 5M6,OK,premise
65,ROOFTOP,"1100 Pembroke St E, Pembroke, ON K8A 6Y7, Canada",ChIJf0lZD4A30UwRDN3s6SJ2S0s,"1100 Pembroke St E,Pembroke,ON,Canada,K8A6Y7",45.8209004,-77.08445870000001,1,K8A 6Y7,OK,premise
66,RANGE_INTERPOLATED,"1101 Lansdowne Street West, Peterborough, ON K9J 5X9, Canada",EjwxMTAxIExhbnNkb3duZSBTdHJlZXQgV2VzdCwgUGV0ZXJib3JvdWdoLCBPTiBLOUogNVg5LCBDYW5hZGEiGxIZChQKEgmRyXdrpY3ViREFuJKZjBs2nhDNCA,"1101 Lansdowne St W,Peterborough,ON,Canada,K9J7M2",44.2804194,-78.3475733,2,K9J 5X9,OK,street_address
67,ROOFTOP,"1105 Wellington Rd, London, ON N6E 1V4, Canada",ChIJC9UYGJTzLogRx2V8_cAos4Y,"1105 WELLINGTON RD,London,ON,Canada,N6E 1V4",42.93158649999999,-81.22468870000002,1,N6E 1V4,OK,premise
68,ROOFTOP,"111 Avenue A, New York, NY 10009, USA",ChIJfS6RWp1ZwokRHRCIiP-IApE,"111 Avenue & Groat Road,Edmonton,AB,Canada,T5M3L7",40.7262059,-73.9836212,1,10009,OK,"establishment,food,point_of_interest,restaurant"
69,ROOFTOP,"111 Howland Dr, Huntsville, ON P1H 2P4, Canada",ChIJhTytL2hyKk0RCUBTSpnFLTA,"111 Howland Drive,Huntsville,ON,Canada,P1H2P4",45.34544959999999,-79.22883379999999,1,P1H 2P4,OK,premise
70,ROOFTOP,"1111 Boulevard Jutras E, Victoriaville, QC G6S 1C1, Canada",ChIJvXzIRMIDuEwRGy7eUSqcgTk,"1111 boul Jutras Est,Victoriaville,QC,Canada,G6S1C1",46.059653,-71.9267684,1,G6S 1C1,OK,premise
71,ROOFTOP,"1111 Boulevard Jutras E, Victoriaville, QC G6S 1C1, Canada",ChIJvXzIRMIDuEwRGy7eUSqcgTk,"1111 Boulevard Jutras E,Victoriaville,QC,Canada,G6S1C1",46.059653,-71.9267684,1,G6S 1C1,OK,premise
